member,ic,dT,horizon,proj,verdict,blowup_step,final_relL2_bare,final_relL2_closure,improvement_x,proj_shells_mean,proj_shells_max,proj_removed_frac_mean
FRC-256,549,0.005,16,off,STABLE,-1,7.304369e-04,3.320050e-05,22.00,,,
FRC-256,549,0.005,16,on,STABLE,-1,7.304369e-04,3.540325e-05,20.63,57.4,62,2.071e-02
FRC-256,933,0.005,16,off,STABLE,-1,5.767144e-04,2.446473e-05,23.57,,,
FRC-256,933,0.005,16,on,STABLE,-1,5.767144e-04,2.557642e-05,22.55,55.8,63,1.862e-02
FRC-256,1357,0.005,16,off,STABLE,-1,7.882169e-04,6.042351e-05,13.04,,,
FRC-256,1357,0.005,16,on,STABLE,-1,7.882169e-04,6.211820e-05,12.69,51.0,65,2.044e-02
FRC-combo,527,0.005,16,off,STABLE,-1,1.588819e-03,1.722598e-03,0.92,,,
FRC-combo,527,0.005,16,on,STABLE,-1,1.588819e-03,1.733852e-03,0.92,102.9,125,1.099e-02
FRC-combo,884,0.005,16,off,STABLE,-1,6.358343e-04,9.907826e-05,6.42,,,
FRC-combo,884,0.005,16,on,STABLE,-1,6.358343e-04,9.867447e-05,6.44,104.5,118,1.259e-02
FRC-combo,1355,0.005,16,off,STABLE,-1,5.371860e-04,4.836537e-05,11.11,,,
FRC-combo,1355,0.005,16,on,STABLE,-1,5.371860e-04,4.877195e-05,11.01,106.9,113,1.289e-02
FRC-kf4,532,0.005,16,off,STABLE,-1,2.709908e-04,1.270870e-05,21.32,,,
FRC-kf4,532,0.005,16,on,STABLE,-1,2.709908e-04,1.296181e-05,20.91,106.6,122,1.715e-02
FRC-kf4,837,0.005,16,off,STABLE,-1,2.094954e-04,1.259337e-05,16.64,,,
FRC-kf4,837,0.005,16,on,STABLE,-1,2.094954e-04,1.275939e-05,16.42,92.6,102,1.585e-02
FRC-kf4,912,0.005,16,off,STABLE,-1,3.121690e-04,2.042616e-05,15.28,,,
FRC-kf4,912,0.005,16,on,STABLE,-1,3.121690e-04,2.085201e-05,14.97,104.3,121,2.181e-02
FRC-kf4,1356,0.005,16,off,STABLE,-1,2.568375e-04,1.290306e-05,19.91,,,
FRC-kf4,1356,0.005,16,on,STABLE,-1,2.568375e-04,1.297525e-05,19.79,91.5,112,1.300e-02
FRC-256,549,0.005,64,off,UNSTABLE,34,2.786021e-03,,,,,
FRC-256,549,0.005,64,on,UNSTABLE,34,2.786021e-03,,,56.0,68,2.611e-02
FRC-256,933,0.005,64,off,UNSTABLE,38,2.144755e-03,,,,,
FRC-256,933,0.005,64,on,UNSTABLE,37,2.144755e-03,,,53.2,67,3.865e-02
FRC-256,1357,0.005,64,off,UNSTABLE,29,2.964438e-03,,,,,
FRC-256,1357,0.005,64,on,UNSTABLE,29,2.964438e-03,,,50.8,69,2.915e-02
FRC-combo,527,0.005,64,off,UNSTABLE,21,6.088837e-03,,,,,
FRC-combo,527,0.005,64,on,UNSTABLE,21,6.088837e-03,,,105.4,135,1.802e-02
FRC-combo,884,0.005,64,off,UNSTABLE,30,2.400921e-03,,,,,
FRC-combo,884,0.005,64,on,UNSTABLE,31,2.400921e-03,,,103.2,143,5.381e-02
FRC-combo,1355,0.005,64,off,UNSTABLE,36,2.024044e-03,,,,,
FRC-combo,1355,0.005,64,on,UNSTABLE,37,2.024044e-03,,,108.1,174,4.927e-02
FRC-kf4,532,0.005,64,off,UNSTABLE,38,9.521279e-04,,,,,
FRC-kf4,532,0.005,64,on,UNSTABLE,38,9.521279e-04,,,87.9,131,4.220e-02
FRC-kf4,837,0.005,64,off,UNSTABLE,34,7.635357e-04,,,,,
FRC-kf4,837,0.005,64,on,UNSTABLE,34,7.635357e-04,,,98.1,143,2.356e-02
FRC-kf4,912,0.005,64,off,UNSTABLE,31,1.072861e-03,,,,,
FRC-kf4,912,0.005,64,on,UNSTABLE,31,1.072861e-03,,,105.7,165,8.685e-02
FRC-kf4,1356,0.005,64,off,UNSTABLE,37,9.217514e-04,,,,,
FRC-kf4,1356,0.005,64,on,UNSTABLE,37,9.217514e-04,,,94.9,186,3.736e-02
FRC-256,549,0.005,128,off,UNSTABLE,34,5.165202e-03,,,,,
FRC-256,549,0.005,128,on,UNSTABLE,34,5.165202e-03,,,56.0,68,2.611e-02
FRC-256,933,0.005,128,off,UNSTABLE,38,3.854347e-03,,,,,
FRC-256,933,0.005,128,on,UNSTABLE,37,3.854347e-03,,,53.2,67,3.865e-02
FRC-256,1357,0.005,128,off,UNSTABLE,29,5.517458e-03,,,,,
FRC-256,1357,0.005,128,on,UNSTABLE,29,5.517458e-03,,,50.8,69,2.915e-02
FRC-combo,527,0.005,128,off,UNSTABLE,21,1.243093e-02,,,,,
FRC-combo,527,0.005,128,on,UNSTABLE,21,1.243093e-02,,,105.4,135,1.802e-02
FRC-combo,884,0.005,128,off,UNSTABLE,30,4.389881e-03,,,,,
FRC-combo,884,0.005,128,on,UNSTABLE,31,4.389881e-03,,,103.2,143,5.381e-02
FRC-combo,1355,0.005,128,off,UNSTABLE,36,3.713763e-03,,,,,
FRC-combo,1355,0.005,128,on,UNSTABLE,37,3.713764e-03,,,108.1,174,4.927e-02
FRC-kf4,532,0.005,128,off,UNSTABLE,38,1.615079e-03,,,,,
FRC-kf4,532,0.005,128,on,UNSTABLE,38,1.615079e-03,,,87.9,131,4.220e-02
FRC-kf4,837,0.005,128,off,UNSTABLE,34,1.351653e-03,,,,,
FRC-kf4,837,0.005,128,on,UNSTABLE,34,1.351653e-03,,,98.1,143,2.356e-02
FRC-kf4,912,0.005,128,off,UNSTABLE,31,1.780515e-03,,,,,
FRC-kf4,912,0.005,128,on,UNSTABLE,31,1.780515e-03,,,105.7,165,8.685e-02
FRC-kf4,1356,0.005,128,off,UNSTABLE,37,1.615537e-03,,,,,
FRC-kf4,1356,0.005,128,on,UNSTABLE,37,1.615537e-03,,,94.9,186,3.736e-02
FRC-256,549,0.01,16,off,STABLE,-1,6.423622e-03,1.822298e-02,0.35,,,
FRC-256,549,0.01,16,on,STABLE,-1,6.423622e-03,1.854080e-02,0.35,54.0,60,1.399e-02
FRC-256,933,0.01,16,off,STABLE,-1,5.048174e-03,1.409537e-03,3.58,,,
FRC-256,933,0.01,16,on,STABLE,-1,5.048174e-03,1.333662e-03,3.79,52.6,65,1.570e-02
FRC-256,1357,0.01,16,off,STABLE,-1,7.667689e-03,7.738335e-02,0.10,,,
FRC-256,1357,0.01,16,on,STABLE,-1,7.667689e-03,7.509450e-02,0.10,49.0,55,1.454e-02
FRC-combo,527,0.01,16,off,UNSTABLE,13,7.623998e-02,,,,,
FRC-combo,527,0.01,16,on,UNSTABLE,13,7.623998e-02,,,92.8,109,9.850e-03
FRC-combo,884,0.01,16,off,STABLE,-1,6.126139e-03,1.125484e+00,0.01,,,
FRC-combo,884,0.01,16,on,STABLE,-1,6.126139e-03,1.112933e+00,0.01,101.1,108,1.045e-02
FRC-combo,1355,0.01,16,off,STABLE,-1,4.788640e-03,1.382063e-03,3.46,,,
FRC-combo,1355,0.01,16,on,STABLE,-1,4.788640e-03,1.381682e-03,3.47,101.9,120,1.160e-02
FRC-kf4,532,0.01,16,off,STABLE,-1,2.199437e-03,3.565377e-04,6.17,,,
FRC-kf4,532,0.01,16,on,STABLE,-1,2.199437e-03,3.536044e-04,6.22,101.9,142,2.055e-02
FRC-kf4,837,0.01,16,off,STABLE,-1,1.748100e-03,3.506798e-03,0.50,,,
FRC-kf4,837,0.01,16,on,STABLE,-1,1.748100e-03,3.514313e-03,0.50,89.0,102,1.155e-02
FRC-kf4,912,0.01,16,off,STABLE,-1,2.737723e-03,6.389095e-02,0.04,,,
FRC-kf4,912,0.01,16,on,STABLE,-1,2.737723e-03,5.919601e-02,0.05,98.6,109,3.851e-02
FRC-kf4,1356,0.01,16,off,STABLE,-1,2.115507e-03,8.824485e-04,2.40,,,
FRC-kf4,1356,0.01,16,on,STABLE,-1,2.115507e-03,8.838465e-04,2.39,92.7,147,1.479e-02
FRC-256,549,0.015,16,off,STABLE,-1,1.622463e-01,1.908141e-01,0.85,,,
FRC-256,549,0.015,16,on,STABLE,-1,1.622463e-01,1.815697e-01,0.89,47.0,70,1.308e-02
FRC-256,933,0.015,16,off,STABLE,-1,4.745970e-02,1.067307e-01,0.44,,,
FRC-256,933,0.015,16,on,STABLE,-1,4.745970e-02,1.196046e-01,0.40,51.9,79,1.378e-02
FRC-256,1357,0.015,16,off,UNSTABLE,15,9.360166e-01,,,,,
FRC-256,1357,0.015,16,on,UNSTABLE,15,9.360166e-01,,,48.5,63,5.327e-02
FRC-combo,527,0.015,16,off,UNSTABLE,10,nan,,,,,
FRC-combo,527,0.015,16,on,UNSTABLE,10,nan,,,95.2,149,1.961e-02
FRC-combo,884,0.015,16,off,UNSTABLE,14,4.525956e-01,,,,,
FRC-combo,884,0.015,16,on,UNSTABLE,14,4.525956e-01,,,93.9,136,5.296e-02
FRC-combo,1355,0.015,16,off,STABLE,-1,9.989262e-02,6.581027e-02,1.52,,,
FRC-combo,1355,0.015,16,on,STABLE,-1,9.989262e-02,6.575714e-02,1.52,90.4,138,8.909e-03
FRC-kf4,532,0.015,16,off,STABLE,-1,9.398637e-03,4.964884e-03,1.89,,,
FRC-kf4,532,0.015,16,on,STABLE,-1,9.398637e-03,4.781551e-03,1.97,108.1,225,2.620e-02
FRC-kf4,837,0.015,16,off,STABLE,-1,3.802645e-02,1.155737e-01,0.33,,,
FRC-kf4,837,0.015,16,on,STABLE,-1,3.802645e-02,1.162152e-01,0.33,82.1,114,9.913e-03
FRC-kf4,912,0.015,16,off,UNSTABLE,16,7.207246e-02,,,,,
FRC-kf4,912,0.015,16,on,UNSTABLE,16,7.207246e-02,,,105.8,200,1.053e-01
FRC-kf4,1356,0.015,16,off,STABLE,-1,1.929679e-02,5.263376e-02,0.37,,,
FRC-kf4,1356,0.015,16,on,STABLE,-1,1.929679e-02,5.193588e-02,0.37,99.2,168,1.415e-02
